year	d	h	m
1452	20	11	52
1453	20	17	36
1454	20	23	30
1455	21	05	26
1456	20	11	15
1457	20	17	08
1458	20	22	54
1459	21	04	43
1460	20	10	40
1461	20	16	21
1462	20	22	07
1463	21	04	00
1464	20	09	48
1465	20	15	39
1466	20	21	26
1467	21	03	12
1468	20	09	06
1469	20	14	45
1470	20	20	30
1471	21	02	25
1472	20	08	12
1473	20	14	00
1474	20	19	47
1475	21	01	37
1476	20	07	35
1477	20	13	25
1478	20	19	17
1479	21	01	13
1480	20	07	02
1481	20	12	47
1482	20	18	33
1483	21	00	20
1484	20	06	09
1485	20	11	51
1486	20	17	33
1487	20	23	25
1488	20	05	17
1489	20	11	05
1490	20	16	56
1491	20	22	46
1492	20	04	37
1493	20	10	24
1494	20	16	12
1495	20	22	07
1496	20	04	00
1497	20	09	44
1498	20	15	32
1499	20	21	22
1500	21	03	15
1501	21	09	05
1502	21	14	52
1503	21	20	42
1504	21	02	32
1505	21	08	14
1506	21	13	59
1507	21	19	49
1508	21	01	35
1509	21	07	19
1510	21	13	07
1511	21	18	58
1512	21	00	58
1513	21	06	48
1514	21	12	38
1515	21	18	35
1516	21	00	22
1517	21	06	09
1518	21	11	58
1519	21	17	45
1520	20	23	37
1521	21	05	19
1522	21	11	00
1523	21	16	55
1524	20	22	43
1525	21	04	30
1526	21	10	21
1527	21	16	07
1528	20	22	01
1529	21	03	47
1530	21	09	33
1531	21	15	30
1532	20	21	18
1533	21	03	02
1534	21	08	56
1535	21	14	46
1536	20	20	44
1537	21	02	35
1538	21	08	18
1539	21	14	13
1540	20	19	57
1541	21	01	35
1542	21	07	27
1543	21	13	10
1544	20	18	59
1545	21	00	45
1546	21	06	25
1547	21	12	26
1548	20	18	19
1549	21	00	05
1550	21	06	04
1551	21	11	53
1552	20	17	44
1553	20	23	36
1554	21	05	18
1555	21	11	14
1556	20	17	02
1557	20	22	37
1558	21	04	31
1559	21	10	19
1560	20	16	08
1561	20	22	01
1562	21	03	41
1563	21	09	35
1564	20	15	25
1565	20	21	02
1566	21	02	59
1567	21	08	50
1568	20	14	36
1569	20	20	30
1570	21	02	13
1571	21	08	13
1572	20	14	11
1573	20	19	50
1574	21	01	46
1575	21	07	34
1576	20	13	16
1577	20	19	08
1578	21	00	47
1579	21	06	37
1580	20	12	27
1581	20	18	01
1582	20	23	55
1583	21	05	50
1584	20	11	38
1585	20	17	36
1586	20	23	21
1587	21	05	14
1588	20	11	10
1589	20	16	48
1590	20	22	42
1591	21	04	36
1592	20	10	17
1593	20	16	08
1594	20	21	54
1595	21	03	45
1596	20	09	43
1597	20	15	20
1598	20	21	09
1599	21	03	02
1600	20	08	41
1601	20	14	33
1602	20	20	19
1603	21	02	08
1604	20	08	02
1605	20	13	41
1606	20	19	34
1607	21	01	36
1608	20	07	23
1609	20	13	19
1610	20	19	07
1611	21	00	56
1612	20	06	49
1613	20	12	27
1614	20	18	14
1615	21	00	07
1616	20	05	45
1617	20	11	32
1618	20	17	22
1619	20	23	13
1620	20	05	09
1621	20	10	52
1622	20	16	40
1623	20	22	37
1624	20	04	21
1625	20	10	11
1626	20	16	05
1627	20	21	54
1628	20	03	45
1629	20	09	29
1630	20	15	18
1631	20	21	17
1632	20	03	03
1633	20	08	48
1634	20	14	38
1635	20	20	23
1636	20	02	11
1637	20	07	53
1638	20	13	38
1639	20	19	31
1640	20	01	15
1641	20	07	02
1642	20	12	59
1643	20	18	56
1644	20	00	50
1645	20	06	39
1646	20	12	28
1647	20	18	22
1648	20	00	08
1649	20	05	52
1650	20	11	42
1651	20	17	30
1652	19	23	13
1653	20	04	57
1654	20	10	46
1655	20	16	40
1656	19	22	29
1657	20	04	13
1658	20	10	04
1659	20	15	57
1660	19	21	44
1661	20	03	33
1662	20	09	24
1663	20	15	15
1664	19	21	04
1665	20	02	51
1666	20	08	44
1667	20	14	43
1668	19	20	29
1669	20	02	13
1670	20	08	02
1671	20	13	48
1672	19	19	33
1673	20	01	18
1674	20	07	03
1675	20	12	56
1676	19	18	40
1677	20	00	26
1678	20	06	24
1679	20	12	17
1680	19	18	10
1681	20	00	00
1682	20	05	48
1683	20	11	46
1684	19	17	32
1685	19	23	15
1686	20	05	07
1687	20	10	51
1688	19	16	36
1689	19	22	24
1690	20	04	12
1691	20	10	11
1692	19	15	56
1693	19	21	37
1694	20	03	30
1695	20	09	17
1696	19	15	03
1697	19	20	55
1698	20	02	41
1699	20	08	38
1700	20	14	26
1701	20	20	10
1702	21	02	12
1703	21	08	04
1704	20	13	49
1705	20	19	42
1706	21	01	24
1707	21	07	18
1708	20	13	04
1709	20	18	41
1710	21	00	34
1711	21	06	19
1712	20	11	59
1713	20	17	54
1714	20	23	44
1715	21	05	43
1716	20	11	35
1717	20	17	15
1718	20	23	13
1719	21	05	03
1720	20	10	46
1721	20	16	41
1722	20	22	26
